coachID,year,tmID,confID,name,won,lost,games,win_pct_season,last1_win_pct,last3_win_pct,last5_win_pct,career_wins_to_date,career_losses_to_date,career_games_to_date,career_win_pct_to_date,tenure_with_team,post_wins,post_losses,playoff_games,playoff_win_pct_season
coopemi01w,9,LAS,WE,Los Angeles Sparks,20,14,34.0,0.5882352941176471,0.29411764705882354,0.5666666666666667,0.67125,129.0,55.0,184.0,0.7010869565217391,7,3,3,6.0,0.5
coylepa99w,9,NYL,EA,New York Liberty,19,15,34.0,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.48366013071895425,56.0,64.0,120.0,0.4666666666666667,5,3,3,6.0,0.5
dunnli99wc,9,IND,EA,Indiana Fever,17,17,34.0,0.5,0.53125,0.34375,0.34375,33.0,63.0,96.0,0.34375,1,1,2,3.0,0.3333333333333333
gaineco01w,9,PHO,WE,Phoenix Mercury,16,18,34.0,0.47058823529411764,,,,0.0,0.0,0.0,,1,0,0,0.0,
hugheda99w,9,SAS,WE,San Antonio Silver Stars,24,10,34.0,0.7058823529411765,0.5882352941176471,0.39215686274509803,0.39779411764705885,106.0,126.0,232.0,0.45689655172413796,4,4,5,9.0,0.4444444444444444
kenlaje99w,9,WAS,EA,Washington Mystics,2,10,12.0,0.16666666666666666,,,,0.0,0.0,0.0,,1,0,0,0.0,
keyst99wc,9,CHI,EA,Chicago Sky,12,22,34.0,0.35294117647058826,,,,0.0,0.0,0.0,,1,0,0,0.0,
laimbbi01w,9,DET,EA,Detroit Shock,22,12,34.0,0.6470588235294118,0.7058823529411765,0.6176470588235294,0.6176470588235294,114.0,78.0,192.0,0.59375,7,7,2,9.0,0.7777777777777778
meadoma99w,9,ATL,EA,Atlanta Dream,4,30,34.0,0.11764705882352941,,,,0.0,0.0,0.0,,1,0,0,0.0,
rollitr01w,9,WAS,EA,Washington Mystics,8,14,22.0,0.36363636363636365,0.5333333333333333,0.5333333333333333,0.5333333333333333,16.0,14.0,30.0,0.5333333333333333,2,0,0,0.0,
thibami99w,9,CON,EA,Connecticut Sun,21,13,34.0,0.6176470588235294,0.5294117647058824,0.6862745098039215,0.6235294117647059,106.0,64.0,170.0,0.6235294117647059,6,1,2,3.0,0.3333333333333333
thompka99w,9,HOU,WE,Houston Comets,17,17,34.0,0.5,0.38235294117647056,0.5840336134453781,0.5840336134453781,24.0,24.0,48.0,0.5,2,0,0,0.0,
zierddo99w,9,MIN,WE,Minnesota Lynx,16,18,34.0,0.47058823529411764,0.29411764705882354,0.29411764705882354,0.29411764705882354,10.0,24.0,34.0,0.29411764705882354,2,0,0,0.0,
aglerbr99w,10,SEA,WE,Seattle Storm,20,14,34.0,0.5882352941176471,0.6470588235294118,0.44594943240454077,0.4516495743034056,55.0,62.0,117.0,0.4700854700854701,2,1,2,3.0,0.3333333333333333
bouceje01w,10,SAC,WE,Sacramento Monarchs,3,10,13.0,0.23076923076923078,0.5294117647058824,0.5441176470588236,0.5441176470588236,37.0,31.0,68.0,0.5441176470588235,3,0,0,0.0,
coopemi01w,10,LAS,WE,Los Angeles Sparks,18,16,34.0,0.5294117647058824,0.5882352941176471,0.5274509803921569,0.6138970588235294,149.0,69.0,218.0,0.6834862385321101,8,3,3,6.0,0.5
coylepa99w,10,NYL,EA,New York Liberty,6,11,17.0,0.35294117647058826,0.5588235294117647,0.45098039215686275,0.49869281045751634,75.0,79.0,154.0,0.487012987012987,6,0,0,0.0,
donovan99w,10,NYL,EA,New York Liberty,7,10,17.0,0.4117647058823529,0.5,0.5392156862745098,0.5470588235294118,138.0,128.0,266.0,0.518796992481203,1,0,0,0.0,
dunnli99wc,10,IND,EA,Indiana Fever,22,12,34.0,0.6470588235294118,0.5,0.4479166666666667,0.3828125,50.0,80.0,130.0,0.38461538461538464,2,6,4,10.0,0.6
gaineco01w,10,PHO,WE,Phoenix Mercury,23,11,34.0,0.6764705882352942,0.47058823529411764,0.47058823529411764,0.47058823529411764,16.0,18.0,34.0,0.47058823529411764,2,7,4,11.0,0.6363636363636364
gilloje01w,10,MIN,WE,Minnesota Lynx,14,20,34.0,0.4117647058823529,,,,0.0,0.0,0.0,,1,0,0,0.0,
hugheda99w,10,SAS,WE,San Antonio Silver Stars,15,19,34.0,0.4411764705882353,0.7058823529411765,0.5588235294117648,0.4764705882352941,130.0,136.0,266.0,0.48872180451127817,5,1,2,3.0,0.3333333333333333
keyst99wc,10,CHI,EA,Chicago Sky,16,18,34.0,0.47058823529411764,0.35294117647058826,0.35294117647058826,0.35294117647058826,12.0,22.0,34.0,0.35294117647058826,2,0,0,0.0,
