year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
7,SAC,Sacramento Monarchs,0.62,21.0,13.0,34.0,2537.0,2404.0,133.0,0.82,0.41,0.74,,,,,25.0,-0.12
8,SAC,Sacramento Monarchs,0.56,19.0,15.0,34.0,2527.0,2480.0,47.0,0.71,0.41,0.62,,,,,21.0,-0.06
9,SAC,Sacramento Monarchs,0.53,18.0,16.0,34.0,2545.0,2571.0,-26.0,0.76,0.29,0.56,,,,,19.0,-0.03
10,SAC,Sacramento Monarchs,0.35,12.0,22.0,34.0,2610.0,2690.0,-80.0,0.41,0.29,0.53,,,,,18.0,-0.18
4,SAS,San Antonio Silver Stars,0.35,12.0,22.0,34.0,2215.0,2427.0,-212.0,0.53,0.18,,,,,,,
5,SAS,San Antonio Silver Stars,0.26,9.0,25.0,34.0,2191.0,2364.0,-173.0,0.35,0.18,0.35,,,,,12.0,-0.09
6,SAS,San Antonio Silver Stars,0.21,7.0,27.0,34.0,2141.0,2401.0,-260.0,0.29,0.12,0.26,,,,,9.0,-0.06
7,SAS,San Antonio Silver Stars,0.38,13.0,21.0,34.0,2523.0,2603.0,-80.0,0.35,0.41,0.21,,,,,7.0,0.18
8,SAS,San Antonio Silver Stars,0.59,20.0,14.0,34.0,2517.0,2484.0,33.0,0.53,0.65,0.38,,,,,13.0,0.21
9,SAS,San Antonio Silver Stars,0.71,24.0,10.0,34.0,2546.0,2418.0,128.0,0.88,0.53,0.59,,,,,20.0,0.12
10,SAS,San Antonio Silver Stars,0.44,15.0,19.0,34.0,2615.0,2661.0,-46.0,0.59,0.29,0.71,,,,,24.0,-0.26
1,SEA,Seattle Storm,0.19,6.0,26.0,32.0,1822.0,2171.0,-349.0,0.25,0.12,,,,,,,
