year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,off_eff,def_eff,fg_pct,three_pct,ft_pct,opp_fg_pct,prop_3pt_shots,home_win_pct,away_win_pct,home_advantage,attend_per_game,confID,franchise_changed,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev,off_eff_norm,def_eff_norm,fg_pct_norm,three_pct_norm,ft_pct_norm,opp_fg_pct_norm,point_diff_norm
1,HOU,Houston Comets,0.8438,27.0,5.0,32.0,2475.0,2066.0,409.0,77.3438,64.5625,0.4704,0.3503,0.8218,0.4056,0.2592,0.875,0.8125,0.0625,6127.4062,WE,0.0,,,,,,,,1.1206,0.9354,1.09,1.0674,1.1114,0.9385,
2,HOU,Houston Comets,0.5938,19.0,13.0,32.0,2047.0,1994.0,53.0,63.9688,62.3125,0.3915,0.3172,0.7699,0.393,0.228,0.6875,0.5,0.1875,5659.8438,WE,0.0,0.8438,,,,,27.0,-0.25,0.9736,0.9484,0.9527,0.948,1.0411,0.9556,
3,HOU,Houston Comets,0.75,24.0,8.0,32.0,2072.0,1892.0,180.0,64.75,59.125,0.4246,0.3283,0.7744,0.375,0.1867,0.875,0.625,0.25,5895.25,WE,0.0,0.5938,,,,,19.0,0.1562,0.9573,0.8741,1.0101,0.9716,1.0424,0.8915,
4,HOU,Houston Comets,0.5882,20.0,14.0,34.0,2244.0,2142.0,102.0,66.0,63.0,0.4322,0.3343,0.7883,0.4059,0.1795,0.8235,0.3529,0.4706,4417.7353,WE,0.0,0.75,,,,,24.0,-0.1618,0.9692,0.9251,1.0343,0.9967,1.0579,0.9711,
5,HOU,Houston Comets,0.3824,13.0,21.0,34.0,2177.0,2211.0,-34.0,64.0294,65.0294,0.4128,0.3436,0.7447,0.4153,0.1852,0.5294,0.2353,0.2941,4042.7941,WE,0.0,0.5882,,,,,20.0,-0.2059,0.9547,0.9696,0.9827,0.9889,1.0041,0.988,
6,HOU,Houston Comets,0.5588,19.0,15.0,34.0,2309.0,2263.0,46.0,67.9118,66.5588,0.4479,0.3024,0.7638,0.4362,0.1068,0.6471,0.4706,0.1765,3549.2941,WE,0.0,0.3824,,,,,13.0,0.1765,1.0093,0.9892,1.0546,0.904,1.0305,1.0263,
7,HOU,Houston Comets,0.5294,18.0,16.0,34.0,2507.0,2449.0,58.0,73.7353,72.0294,0.4423,0.3581,0.7109,0.4158,0.225,0.7059,0.3529,0.3529,3840.7647,WE,0.0,0.5588,,,,,19.0,-0.0294,0.9801,0.9575,1.0418,1.0712,0.9504,0.9785,406.0
8,HOU,Houston Comets,0.3824,13.0,21.0,34.0,2510.0,2628.0,-118.0,73.8235,77.2941,0.4258,0.3452,0.7684,0.4219,0.1698,0.4118,0.3529,0.0588,4082.8235,WE,0.0,0.5294,,,,,18.0,-0.1471,0.9638,1.0091,1.014,0.9937,0.992,1.004,
9,HOU,Houston Comets,0.5,17.0,17.0,34.0,2561.0,2606.0,-45.0,75.3235,76.6471,0.4171,0.316,0.7649,0.4131,0.2174,0.7647,0.2353,0.5294,3292.6765,WE,0.0,0.3824,,,,,13.0,0.1176,0.9877,1.005,0.9933,0.9368,1.0183,0.9831,
1,IND,Indiana Fever,0.2812,9.0,23.0,32.0,2213.0,2290.0,-77.0,69.1562,71.5625,0.4331,0.3704,0.7522,0.4491,0.2835,0.3125,0.25,0.0625,5633.4375,EA,0.0,,,,,,,,1.002,1.0368,1.0034,1.1288,1.0173,1.0394,
2,IND,Indiana Fever,0.3125,10.0,22.0,32.0,2153.0,2249.0,-96.0,67.2812,70.2812,0.4182,0.352,0.7986,0.4492,0.2448,0.4375,0.1875,0.25,4341.3125,EA,0.0,0.2812,,,,,9.0,0.0312,1.024,1.0696,1.0177,1.052,1.0799,1.0923,
3,IND,Indiana Fever,0.5,16.0,16.0,32.0,2097.0,2129.0,-32.0,65.5312,66.5312,0.4005,0.3315,0.7845,0.4425,0.2975,0.625,0.375,0.25,4217.0312,EA,0.0,0.3125,,,,,10.0,0.1875,0.9688,0.9836,0.9528,0.981,1.056,1.0519,
