year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
3,MIA,Miami Sol,0.46875,15,17,32,2046,2088,-42,0.5625,0.375,0.625,0.515625,0.515625,-55.5,-55.5,20.0,-0.15625
1,MIN,Minnesota Lynx,0.46875,15,17,32,2193,2188,5,0.5,0.4375,,,,,,,
2,MIN,Minnesota Lynx,0.375,12,20,32,2077,2156,-79,0.375,0.375,0.46875,0.46875,0.46875,5.0,5.0,15.0,-0.09375
3,MIN,Minnesota Lynx,0.3125,10,22,32,2003,2104,-101,0.4375,0.1875,0.375,0.421875,0.421875,-37.0,-37.0,12.0,-0.0625
4,MIN,Minnesota Lynx,0.5294117647058824,18,16,34,2380,2370,10,0.6470588235294118,0.4117647058823529,0.3125,0.3854166666666667,0.3854166666666667,-58.333333333333336,-58.333333333333336,10.0,0.21691176470588236
5,MIN,Minnesota Lynx,0.5294117647058824,18,16,34,2165,2190,-25,0.6470588235294118,0.4117647058823529,0.5294117647058824,0.40563725490196073,0.42141544117647056,-56.666666666666664,-41.25,18.0,0.0
6,MIN,Minnesota Lynx,0.4117647058823529,14,20,34,2211,2288,-77,0.6470588235294118,0.17647058823529413,0.5294117647058824,0.4571078431372549,0.4430147058823529,-38.666666666666664,-38.0,18.0,-0.11764705882352944
7,MIN,Minnesota Lynx,0.29411764705882354,10,24,34,2523,2735,-212,0.47058823529411764,0.11764705882352941,0.4117647058823529,0.4901960784313726,0.43161764705882355,-30.666666666666668,-54.4,14.0,-0.11764705882352938
8,MIN,Minnesota Lynx,0.29411764705882354,10,24,34,2636,2752,-116,0.4117647058823529,0.17647058823529413,0.29411764705882354,0.411764705882353,0.4154411764705882,-104.66666666666667,-81.0,10.0,0.0
9,MIN,Minnesota Lynx,0.47058823529411764,16,18,34,2767,2721,46,0.5294117647058824,0.4117647058823529,0.29411764705882354,0.3333333333333333,0.4117647058823529,-135.0,-84.0,10.0,0.1764705882352941
10,MIN,Minnesota Lynx,0.4117647058823529,14,20,34,2731,2827,-96,0.5294117647058824,0.29411764705882354,0.47058823529411764,0.35294117647058826,0.4,-94.0,-76.8,16.0,-0.05882352941176472
1,NYL,New York Liberty,0.625,20,12,32,2148,2035,113,0.75,0.5,,,,,,,
2,NYL,New York Liberty,0.65625,21,11,32,2162,2082,80,0.8125,0.5,0.625,0.625,0.625,113.0,113.0,20.0,0.03125
3,NYL,New York Liberty,0.5625,18,14,32,2089,2015,74,0.625,0.5,0.65625,0.640625,0.640625,96.5,96.5,21.0,-0.09375
4,NYL,New York Liberty,0.47058823529411764,16,18,34,2243,2256,-13,0.6470588235294118,0.29411764705882354,0.5625,0.6145833333333334,0.6145833333333334,89.0,89.0,18.0,-0.09191176470588236
5,NYL,New York Liberty,0.5294117647058824,18,16,34,2252,2297,-45,0.6470588235294118,0.4117647058823529,0.47058823529411764,0.5631127450980392,0.5785845588235294,47.0,63.5,16.0,0.05882352941176472
6,NYL,New York Liberty,0.5294117647058824,18,16,34,2316,2285,31,0.5882352941176471,0.47058823529411764,0.5294117647058824,0.5208333333333334,0.56875,5.333333333333333,41.8,18.0,0.0
7,NYL,New York Liberty,0.3235294117647059,11,23,34,2372,2656,-284,0.4117647058823529,0.23529411764705882,0.5294117647058824,0.5098039215686274,0.5496323529411764,-9.0,25.4,18.0,-0.20588235294117646
8,NYL,New York Liberty,0.47058823529411764,16,18,34,2413,2501,-88,0.5882352941176471,0.35294117647058826,0.3235294117647059,0.46078431372549017,0.48308823529411765,-99.33333333333333,-47.4,11.0,0.14705882352941174
9,NYL,New York Liberty,0.5588235294117647,19,15,34,2573,2538,35,0.6470588235294118,0.47058823529411764,0.47058823529411764,0.4411764705882353,0.4647058823529412,-113.66666666666667,-79.8,16.0,0.08823529411764708
10,NYL,New York Liberty,0.38235294117647056,13,21,34,2512,2535,-23,0.47058823529411764,0.29411764705882354,0.5588235294117647,0.45098039215686275,0.48235294117647054,-112.33333333333333,-70.2,19.0,-0.17647058823529416
1,ORL,Orlando Miracle,0.5,16,16,32,2208,2233,-25,0.6875,0.3125,,,,,,,
2,ORL,Orlando Miracle,0.40625,13,19,32,2140,2205,-65,0.625,0.1875,0.5,0.5,0.5,-25.0,-25.0,16.0,-0.09375
3,ORL,Orlando Miracle,0.5,16,16,32,2254,2255,-1,0.625,0.375,0.40625,0.453125,0.453125,-45.0,-45.0,13.0,0.09375
1,PHO,Phoenix Mercury,0.625,20,12,32,2243,2102,141,0.6875,0.5625,,,,,,,
2,PHO,Phoenix Mercury,0.40625,13,19,32,2064,2169,-105,0.625,0.1875,0.625,0.625,0.625,141.0,141.0,20.0,-0.21875
3,PHO,Phoenix Mercury,0.34375,11,21,32,2091,2291,-200,0.625,0.0625,0.40625,0.515625,0.515625,18.0,18.0,13.0,-0.0625
4,PHO,Phoenix Mercury,0.23529411764705882,8,26,34,2097,2270,-173,0.35294117647058826,0.11764705882352941,0.34375,0.4583333333333333,0.4583333333333333,-54.666666666666664,-54.666666666666664,11.0,-0.10845588235294118
5,PHO,Phoenix Mercury,0.5,17,17,34,2300,2235,65,0.5882352941176471,0.4117647058823529,0.23529411764705882,0.3284313725490196,0.4025735294117647,-159.33333333333334,-84.25,8.0,0.2647058823529412
6,PHO,Phoenix Mercury,0.47058823529411764,16,18,34,2361,2354,7,0.6470588235294118,0.29411764705882354,0.5,0.3596813725490196,0.42205882352941176,-102.66666666666667,-54.4,17.0,-0.02941176470588236
7,PHO,Phoenix Mercury,0.5294117647058824,18,16,34,2960,2879,81,0.5882352941176471,0.47058823529411764,0.47058823529411764,0.40196078431372545,0.3911764705882353,-33.666666666666664,-81.2,16.0,0.05882352941176472
8,PHO,Phoenix Mercury,0.6764705882352942,23,11,34,3025,2904,121,0.7058823529411765,0.6470588235294118,0.5294117647058824,0.5,0.4158088235294118,51.0,-44.0,18.0,0.1470588235294118
9,PHO,Phoenix Mercury,0.47058823529411764,16,18,34,3010,3009,1,0.5882352941176471,0.35294117647058826,0.6764705882352942,0.5588235294117647,0.48235294117647065,69.66666666666667,20.2,23.0,-0.20588235294117652
10,PHO,Phoenix Mercury,0.6764705882352942,23,11,34,3156,3031,125,0.7058823529411765,0.6470588235294118,0.47058823529411764,0.5588235294117648,0.5294117647058824,67.66666666666667,55.0,16.0,0.20588235294117652
1,POR,Portland Fire,0.3125,10,22,32,2155,2303,-148,0.375,0.25,,,,,,,
2,POR,Portland Fire,0.34375,11,21,32,2088,2202,-114,0.375,0.3125,0.3125,0.3125,0.3125,-148.0,-148.0,10.0,0.03125
3,POR,Portland Fire,0.5,16,16,32,2195,2227,-32,0.5625,0.4375,0.34375,0.328125,0.328125,-131.0,-131.0,11.0,0.15625
1,SAC,Sacramento Monarchs,0.65625,21,11,32,2343,2176,167,0.8125,0.5,,,,,,,
2,SAC,Sacramento Monarchs,0.625,20,12,32,2294,2139,155,0.75,0.5,0.65625,0.65625,0.65625,167.0,167.0,21.0,-0.03125
3,SAC,Sacramento Monarchs,0.4375,14,18,32,2166,2294,-128,0.625,0.25,0.625,0.640625,0.640625,161.0,161.0,20.0,-0.1875
4,SAC,Sacramento Monarchs,0.5588235294117647,19,15,34,2299,2216,83,0.7058823529411765,0.4117647058823529,0.4375,0.5729166666666666,0.5729166666666666,64.66666666666667,64.66666666666667,14.0,0.12132352941176472
5,SAC,Sacramento Monarchs,0.5294117647058824,18,16,34,2312,2241,71,0.5882352941176471,0.47058823529411764,0.5588235294117647,0.5404411764705882,0.5693933823529411,36.666666666666664,69.25,19.0,-0.02941176470588236
6,SAC,Sacramento Monarchs,0.7352941176470589,25,9,34,2329,2093,236,0.8823529411764706,0.5882352941176471,0.5294117647058824,0.5085784313725491,0.5613970588235294,8.666666666666666,69.6,18.0,0.20588235294117652
7,SAC,Sacramento Monarchs,0.6176470588235294,21,13,34,2537,2404,133,0.8235294117647058,0.4117647058823529,0.7352941176470589,0.607843137254902,0.5772058823529412,130.0,83.4,25.0,-0.11764705882352944
8,SAC,Sacramento Monarchs,0.5588235294117647,19,15,34,2527,2480,47,0.7058823529411765,0.4117647058823529,0.6176470588235294,0.6274509803921569,0.5757352941176471,146.66666666666666,79.0,21.0,-0.05882352941176472
9,SAC,Sacramento Monarchs,0.5294117647058824,18,16,34,2545,2571,-26,0.7647058823529411,0.29411764705882354,0.5588235294117647,0.6372549019607844,0.6,138.66666666666666,114.0,19.0,-0.02941176470588236
10,SAC,Sacramento Monarchs,0.35294117647058826,12,22,34,2610,2690,-80,0.4117647058823529,0.29411764705882354,0.5294117647058824,0.5686274509803922,0.5941176470588235,51.333333333333336,92.2,18.0,-0.1764705882352941
4,SAS,San Antonio Silver Stars,0.35294117647058826,12,22,34,2215,2427,-212,0.5294117647058824,0.17647058823529413,,,,,,,
5,SAS,San Antonio Silver Stars,0.2647058823529412,9,25,34,2191,2364,-173,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.35294117647058826,0.35294117647058826,-212.0,-212.0,12.0,-0.08823529411764708
6,SAS,San Antonio Silver Stars,0.20588235294117646,7,27,34,2141,2401,-260,0.29411764705882354,0.11764705882352941,0.2647058823529412,0.3088235294117647,0.3088235294117647,-192.5,-192.5,9.0,-0.05882352941176472
7,SAS,San Antonio Silver Stars,0.38235294117647056,13,21,34,2523,2603,-80,0.35294117647058826,0.4117647058823529,0.20588235294117646,0.2745098039215686,0.2745098039215686,-215.0,-215.0,7.0,0.1764705882352941
8,SAS,San Antonio Silver Stars,0.5882352941176471,20,14,34,2517,2484,33,0.5294117647058824,0.6470588235294118,0.38235294117647056,0.28431372549019607,0.3014705882352941,-171.0,-181.25,13.0,0.20588235294117652
9,SAS,San Antonio Silver Stars,0.7058823529411765,24,10,34,2546,2418,128,0.8823529411764706,0.5294117647058824,0.5882352941176471,0.392156862745098,0.3588235294117647,-102.33333333333333,-138.4,20.0,0.11764705882352944
10,SAS,San Antonio Silver Stars,0.4411764705882353,15,19,34,2615,2661,-46,0.5882352941176471,0.29411764705882354,0.7058823529411765,0.5588235294117647,0.4294117647058823,27.0,-70.4,24.0,-0.26470588235294124
1,SEA,Seattle Storm,0.1875,6,26,32,1822,2171,-349,0.25,0.125,,,,,,,
2,SEA,Seattle Storm,0.3125,10,22,32,1921,2048,-127,0.3125,0.3125,0.1875,0.1875,0.1875,-349.0,-349.0,6.0,0.125
3,SEA,Seattle Storm,0.53125,17,15,32,2188,2103,85,0.625,0.4375,0.3125,0.25,0.25,-238.0,-238.0,10.0,0.21875
4,SEA,Seattle Storm,0.5294117647058824,18,16,34,2388,2274,114,0.7647058823529411,0.29411764705882354,0.53125,0.34375,0.34375,-130.33333333333334,-130.33333333333334,17.0,-0.0018382352941176405
5,SEA,Seattle Storm,0.5882352941176471,20,14,34,2437,2264,173,0.7647058823529411,0.4117647058823529,0.5294117647058824,0.4577205882352941,0.39016544117647056,24.0,-69.25,18.0,0.05882352941176472
6,SEA,Seattle Storm,0.5882352941176471,20,14,34,2498,2407,91,0.8235294117647058,0.35294117647058826,0.5882352941176471,0.5496323529411765,0.4297794117647059,124.0,-20.8,20.0,0.0
7,SEA,Seattle Storm,0.5294117647058824,18,16,34,2644,2575,69,0.5294117647058824,0.5294117647058824,0.5882352941176471,0.5686274509803922,0.5099264705882354,126.0,67.2,20.0,-0.05882352941176472
8,SEA,Seattle Storm,0.5,17,17,34,2734,2647,87,0.7058823529411765,0.29411764705882354,0.5294117647058824,0.5686274509803922,0.5533088235294118,111.0,106.4,18.0,-0.02941176470588236
9,SEA,Seattle Storm,0.6470588235294118,22,12,34,2493,2406,87,0.9411764705882353,0.35294117647058826,0.5,0.5392156862745098,0.5470588235294118,82.33333333333333,106.8,17.0,0.1470588235294118
10,SEA,Seattle Storm,0.5882352941176471,20,14,34,2544,2476,68,0.7647058823529411,0.4117647058823529,0.6470588235294118,0.5588235294117646,0.5705882352941176,81.0,101.4,22.0,-0.05882352941176472
1,UTA,Utah Starzz,0.5625,18,14,32,2413,2407,6,0.75,0.375,,,,,,,
2,UTA,Utah Starzz,0.59375,19,13,32,2207,2192,15,0.5625,0.625,0.5625,0.5625,0.5625,6.0,6.0,18.0,0.03125
3,UTA,Utah Starzz,0.625,20,12,32,2418,2344,74,0.75,0.5,0.59375,0.578125,0.578125,10.5,10.5,19.0,0.03125
1,WAS,Washington Mystics,0.4375,14,18,32,2176,2221,-45,0.4375,0.4375,,,,,,,
2,WAS,Washington Mystics,0.3125,10,22,32,1928,2075,-147,0.5,0.125,0.4375,0.4375,0.4375,-45.0,-45.0,14.0,-0.125
3,WAS,Washington Mystics,0.53125,17,15,32,2135,2116,19,0.5625,0.5,0.3125,0.375,0.375,-96.0,-96.0,10.0,0.21875
4,WAS,Washington Mystics,0.2647058823529412,9,25,34,2330,2498,-168,0.17647058823529413,0.35294117647058826,0.53125,0.4270833333333333,0.4270833333333333,-57.666666666666664,-57.666666666666664,17.0,-0.2665441176470588
5,WAS,Washington Mystics,0.5,17,17,34,2325,2384,-59,0.6470588235294118,0.35294117647058826,0.2647058823529412,0.369485294117647,0.3864889705882353,-98.66666666666667,-85.25,9.0,0.23529411764705882
6,WAS,Washington Mystics,0.47058823529411764,16,18,34,2263,2305,-42,0.5882352941176471,0.35294117647058826,0.5,0.431985294117647,0.4091911764705882,-69.33333333333333,-80.0,17.0,-0.02941176470588236
7,WAS,Washington Mystics,0.5294117647058824,18,16,34,2747,2657,90,0.7647058823529411,0.29411764705882354,0.47058823529411764,0.411764705882353,0.4158088235294118,-89.66666666666667,-79.4,16.0,0.05882352941176472
8,WAS,Washington Mystics,0.47058823529411764,16,18,34,2585,2639,-54,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.5,0.4591911764705882,-3.6666666666666665,-32.0,18.0,-0.05882352941176472
9,WAS,Washington Mystics,0.29411764705882354,10,24,34,2368,2601,-233,0.35294117647058826,0.23529411764705882,0.47058823529411764,0.4901960784313726,0.4470588235294118,-2.0,-46.6,16.0,-0.1764705882352941
10,WAS,Washington Mystics,0.47058823529411764,16,18,34,2585,2622,-37,0.6470588235294118,0.29411764705882354,0.29411764705882354,0.4313725490196078,0.45294117647058824,-65.66666666666667,-59.6,10.0,0.1764705882352941
